"","Site","species","sum_cover"
"1","Skjellingahaugen","Ach_mil",0
"2","Ulvehaugen","Ach_mil",1
"3","Låvisdalen","Ach_mil",0
"4","Gudmedalen","Ach_mil",31
"5","Skjellingahaugen","Agr_cap",33
"6","Ulvehaugen","Agr_cap",335
"7","Låvisdalen","Agr_cap",33
"8","Gudmedalen","Agr_cap",61
"9","Skjellingahaugen","Agr_mer",11
"10","Ulvehaugen","Agr_mer",1
"11","Låvisdalen","Agr_mer",10
"12","Gudmedalen","Agr_mer",0
"13","Skjellingahaugen","Agr_mer_CF",1
"14","Ulvehaugen","Agr_mer_CF",0
"15","Låvisdalen","Agr_mer_CF",0
"16","Gudmedalen","Agr_mer_CF",0
"17","Skjellingahaugen","Alc_alp",79
"18","Ulvehaugen","Alc_alp",132
"19","Låvisdalen","Alc_alp",166
"20","Gudmedalen","Alc_alp",148
"21","Skjellingahaugen","Alc_sp",166
"22","Ulvehaugen","Alc_sp",97
"23","Låvisdalen","Alc_sp",85
"24","Gudmedalen","Alc_sp",35
"25","Skjellingahaugen","Ant_dio",0
"26","Ulvehaugen","Ant_dio",5
"27","Låvisdalen","Ant_dio",0
"28","Gudmedalen","Ant_dio",12
"29","Skjellingahaugen","Antennaria_sp",0
"30","Ulvehaugen","Antennaria_sp",1
"31","Låvisdalen","Antennaria_sp",0
"32","Gudmedalen","Antennaria_sp",0
"33","Skjellingahaugen","Ant_odo",74
"34","Ulvehaugen","Ant_odo",130
"35","Låvisdalen","Ant_odo",31
"36","Gudmedalen","Ant_odo",93
"37","Skjellingahaugen","Arc_urv",0
"38","Ulvehaugen","Arc_urv",1
"39","Låvisdalen","Arc_urv",0
"40","Gudmedalen","Arc_urv",0
"41","Skjellingahaugen","Ast_alp",0
"42","Ulvehaugen","Ast_alp",57
"43","Låvisdalen","Ast_alp",1
"44","Gudmedalen","Ast_alp",64
"45","Skjellingahaugen","Ave_fle",11
"46","Ulvehaugen","Ave_fle",63
"47","Låvisdalen","Ave_fle",25
"48","Gudmedalen","Ave_fle",44
"49","Skjellingahaugen","Ave_fle_cf",0
"50","Ulvehaugen","Ave_fle_cf",0
"51","Låvisdalen","Ave_fle_cf",0
"52","Gudmedalen","Ave_fle_cf",3
"53","Skjellingahaugen","Bar_alp",3
"54","Ulvehaugen","Bar_alp",0
"55","Låvisdalen","Bar_alp",0
"56","Gudmedalen","Bar_alp",3
"57","Skjellingahaugen","Bet_nan",0
"58","Ulvehaugen","Bet_nan",0
"59","Låvisdalen","Bet_nan",0
"60","Gudmedalen","Bet_nan",10
"61","Skjellingahaugen","Bet_pub",0
"62","Ulvehaugen","Bet_pub",0
"63","Låvisdalen","Bet_pub",0
"64","Gudmedalen","Bet_pub",1
"65","Skjellingahaugen","Bis_viv",28
"66","Ulvehaugen","Bis_viv",53
"67","Låvisdalen","Bis_viv",15
"68","Gudmedalen","Bis_viv",15
"69","Skjellingahaugen","Bot_lun",0
"70","Ulvehaugen","Bot_lun",1
"71","Låvisdalen","Bot_lun",0
"72","Gudmedalen","Bot_lun",0
"73","Skjellingahaugen","Cal_vul",0
"74","Ulvehaugen","Cal_vul",0
"75","Låvisdalen","Cal_vul",0
"76","Gudmedalen","Cal_vul",36
"77","Skjellingahaugen","Cam_rot",15
"78","Ulvehaugen","Cam_rot",6
"79","Låvisdalen","Cam_rot",3
"80","Gudmedalen","Cam_rot",15
"81","Skjellingahaugen","Car_atr",1
"82","Ulvehaugen","Car_atr",0
"83","Låvisdalen","Car_atr",0
"84","Gudmedalen","Car_atr",0
"85","Skjellingahaugen","Car_big",63
"86","Ulvehaugen","Car_big",161
"87","Låvisdalen","Car_big",82
"88","Gudmedalen","Car_big",81
"89","Skjellingahaugen","Car_big_cf",0
"90","Ulvehaugen","Car_big_cf",23
"91","Låvisdalen","Car_big_cf",0
"92","Gudmedalen","Car_big_cf",2
"93","Skjellingahaugen","Car_cap",38
"94","Ulvehaugen","Car_cap",0
"95","Låvisdalen","Car_cap",1
"96","Gudmedalen","Car_cap",10
"97","Skjellingahaugen","Car_cap_cf",0
"98","Ulvehaugen","Car_cap_cf",0
"99","Låvisdalen","Car_cap_cf",1
"100","Gudmedalen","Car_cap_cf",0
"101","Skjellingahaugen","Car_fla",9
"102","Ulvehaugen","Car_fla",0
"103","Låvisdalen","Car_fla",0
"104","Gudmedalen","Car_fla",26
"105","Skjellingahaugen","Car_fla_CF",3
"106","Ulvehaugen","Car_fla_CF",0
"107","Låvisdalen","Car_fla_CF",0
"108","Gudmedalen","Car_fla_CF",1
"109","Skjellingahaugen","Car_nor",3
"110","Ulvehaugen","Car_nor",0
"111","Låvisdalen","Car_nor",3
"112","Gudmedalen","Car_nor",0
"113","Skjellingahaugen","Car_nor_cf",0
"114","Ulvehaugen","Car_nor_cf",0
"115","Låvisdalen","Car_nor_cf",1
"116","Gudmedalen","Car_nor_cf",0
"117","Skjellingahaugen","Car_sax",0
"118","Ulvehaugen","Car_sax",0
"119","Låvisdalen","Car_sax",0
"120","Gudmedalen","Car_sax",3
"121","Skjellingahaugen","Car_sp",1
"122","Ulvehaugen","Car_sp",7
"123","Låvisdalen","Car_sp",1
"124","Gudmedalen","Car_sp",3
"125","Skjellingahaugen","Car_vag",3
"126","Ulvehaugen","Car_vag",0
"127","Låvisdalen","Car_vag",0
"128","Gudmedalen","Car_vag",71
"129","Skjellingahaugen","Car_vag_CF",1
"130","Ulvehaugen","Car_vag_CF",1
"131","Låvisdalen","Car_vag_CF",0
"132","Gudmedalen","Car_vag_CF",0
"133","Skjellingahaugen","Cer_cer",3
"134","Ulvehaugen","Cer_cer",6
"135","Låvisdalen","Cer_cer",6
"136","Gudmedalen","Cer_cer",0
"137","Skjellingahaugen","Cer_cer_cf",1
"138","Ulvehaugen","Cer_cer_cf",0
"139","Låvisdalen","Cer_cer_cf",1
"140","Gudmedalen","Cer_cer_cf",0
"141","Skjellingahaugen","Cer_fon",1
"142","Ulvehaugen","Cer_fon",6
"143","Låvisdalen","Cer_fon",3
"144","Gudmedalen","Cer_fon",1
"145","Skjellingahaugen","Coel_vir",0
"146","Ulvehaugen","Coel_vir",0
"147","Låvisdalen","Coel_vir",0
"148","Gudmedalen","Coel_vir",3
"149","Skjellingahaugen","Des_ces",71
"150","Ulvehaugen","Des_ces",81
"151","Låvisdalen","Des_ces",41
"152","Gudmedalen","Des_ces",86
"153","Skjellingahaugen","Dip_alp",6
"154","Ulvehaugen","Dip_alp",0
"155","Låvisdalen","Dip_alp",0
"156","Gudmedalen","Dip_alp",0
"157","Skjellingahaugen","Emp_nig",20
"158","Ulvehaugen","Emp_nig",1
"159","Låvisdalen","Emp_nig",13
"160","Gudmedalen","Emp_nig",38
"161","Skjellingahaugen","Epi_ana",6
"162","Ulvehaugen","Epi_ana",1
"163","Låvisdalen","Epi_ana",10
"164","Gudmedalen","Epi_ana",1
"165","Skjellingahaugen","Epi_ana_cf",0
"166","Ulvehaugen","Epi_ana_cf",1
"167","Låvisdalen","Epi_ana_cf",0
"168","Gudmedalen","Epi_ana_cf",0
"169","Skjellingahaugen","Epi_nor",0
"170","Ulvehaugen","Epi_nor",1
"171","Låvisdalen","Epi_nor",0
"172","Gudmedalen","Epi_nor",0
"173","Skjellingahaugen","Epilobium_sp",3
"174","Ulvehaugen","Epilobium_sp",1
"175","Låvisdalen","Epilobium_sp",0
"176","Gudmedalen","Epilobium_sp",1
"177","Skjellingahaugen","Equ_arv",2
"178","Ulvehaugen","Equ_arv",0
"179","Låvisdalen","Equ_arv",0
"180","Gudmedalen","Equ_arv",0
"181","Skjellingahaugen","Equ_sci",2
"182","Ulvehaugen","Equ_sci",0
"183","Låvisdalen","Equ_sci",0
"184","Gudmedalen","Equ_sci",0
"185","Skjellingahaugen","Eri_sp",2
"186","Ulvehaugen","Eri_sp",0
"187","Låvisdalen","Eri_sp",0
"188","Gudmedalen","Eri_sp",0
"189","Skjellingahaugen","Eri_uni_cf",0
"190","Ulvehaugen","Eri_uni_cf",1
"191","Låvisdalen","Eri_uni_cf",0
"192","Gudmedalen","Eri_uni_cf",0
"193","Skjellingahaugen","Eup_sp",15
"194","Ulvehaugen","Eup_sp",3
"195","Låvisdalen","Eup_sp",1
"196","Gudmedalen","Eup_sp",1
"197","Skjellingahaugen","Eup_str",0
"198","Ulvehaugen","Eup_str",8
"199","Låvisdalen","Eup_str",1
"200","Gudmedalen","Eup_str",1
"201","Skjellingahaugen","Eup_wet",10
"202","Ulvehaugen","Eup_wet",3
"203","Låvisdalen","Eup_wet",0
"204","Gudmedalen","Eup_wet",11
"205","Skjellingahaugen","Fern",0
"206","Ulvehaugen","Fern",0
"207","Låvisdalen","Fern",2
"208","Gudmedalen","Fern",0
"209","Skjellingahaugen","Fes_rub",1
"210","Ulvehaugen","Fes_rub",6
"211","Låvisdalen","Fes_rub",0
"212","Gudmedalen","Fes_rub",3
"213","Skjellingahaugen","Fes_rub_cf_kanskje_Ave_fle",0
"214","Ulvehaugen","Fes_rub_cf_kanskje_Ave_fle",0
"215","Låvisdalen","Fes_rub_cf_kanskje_Ave_fle",0
"216","Gudmedalen","Fes_rub_cf_kanskje_Ave_fle",1
"217","Skjellingahaugen","Fes_ovi",1
"218","Ulvehaugen","Fes_ovi",42
"219","Låvisdalen","Fes_ovi",10
"220","Gudmedalen","Fes_ovi",3
"221","Skjellingahaugen","Fes_viv",0
"222","Ulvehaugen","Fes_viv",0
"223","Låvisdalen","Fes_viv",0
