 ;Species;Site;Water_potential;Replicate;Seed;Start_date;Germination_date;Comment;Cotelydon_date;Leaf_date;;dead_date;Wet_mass_g_root;Wet_mass_g_;Notes
VA_GUD_1_1_1;VA;GUD;1;1;1;17.02.2020;21.02.2020;;22.02.2020;20.03.2020;;;;;
VA_GUD_1_1_2;VA;GUD;1;1;2;17.02.2020;22.02.2020;;28.02.2020;20.03.2020;;;;;
VA_GUD_1_1_3;VA;GUD;1;1;3;17.02.2020;22.02.2020;;28.02.2020;20.03.2020;;;;;
VA_GUD_1_1_4;VA;GUD;1;1;4;17.02.2020;21.02.2020;09.03.2020: agar dried out and re-moisturized;22.02.2020;;;20.03.2020;;;
VA_GUD_1_1_5;VA;GUD;1;1;5;17.02.2020;22.02.2020;;26.02.2020;20.03.2020;;;;;
VA_GUD_1_1_6;VA;GUD;1;1;6;17.02.2020;21.02.2020;;24.02.2020;20.03.2020;;;;;
VA_GUD_1_1_7;VA;GUD;1;1;7;17.02.2020;22.02.2020;;25.02.2020;02.04.2020;;;;;
VA_GUD_1_1_8;VA;GUD;1;1;8;17.02.2020;22.02.2020;09.03.2020: agar dried out and re-moisturized;25.02.2020;;;20.03.2020;;;
VA_GUD_1_1_9;VA;GUD;1;1;9;17.02.2020;22.02.2020;;04.03.2020;20.03.2020;;;;;
VA_GUD_1_1_10;VA;GUD;1;1;10;17.02.2020;22.02.2020;;25.02.2020;;;;;;
VA_GUD_1_1_11;VA;GUD;1;1;11;17.02.2020;21.02.2020;09.03.2020: agar dried out and re-moisturized;25.02.2020;20.03.2020;;;;;
VA_GUD_1_1_12;VA;GUD;1;1;12;17.02.2020;21.02.2020;09.03.2020: agar dried out and re-moisturized;25.02.2020;30.03.2020;;;;;
VA_GUD_1_1_13;VA;GUD;1;1;13;17.02.2020;21.02.2020;;25.02.2020;;;;;;
VA_GUD_1_1_14;VA;GUD;1;1;14;17.02.2020;21.02.2020;;22.02.2020;20.03.2020;;;;;
VA_GUD_1_1_15;VA;GUD;1;1;15;17.02.2020;;09.03.2020: agar dried out and re-moisturized;;;;;;;
VA_GUD_1_1_16;VA;GUD;1;1;16;17.02.2020;21.02.2020;09.03.2020: agar dried out and re-moisturized;22.02.2020;;;20.03.2020;;;
VA_GUD_1_1_17;VA;GUD;1;1;17;17.02.2020;23.03.2020;;;30.03.2020;;;;;
VA_GUD_1_1_18;VA;GUD;1;1;18;17.02.2020;21.02.2020;;22.02.2020;20.03.2020;;;;;
VA_GUD_1_1_19;VA;GUD;1;1;19;17.02.2020;25.02.2020;Green seed with some extendet leaf with no root. 09.03.2020: agar dried out and re-moisturized;04.03.2020;;;20.03.2020;;;
VA_GUD_1_1_20;VA;GUD;1;1;20;17.02.2020;;09.03.2020: agar dried out and re-moisturized;;;;;;;
VA_GUD_1_2_1;VA;GUD;1;2;1;17.02.2020;22.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_2_2;VA;GUD;1;2;2;17.02.2020;22.02.2020;;28.02.2020;17.03.2020;;;;;
VA_GUD_1_2_3;VA;GUD;1;2;3;17.02.2020;;;;;;;;;
VA_GUD_1_2_4;VA;GUD;1;2;4;17.02.2020;24.02.2020;;27.02.2020;17.03.2020;;;;;
VA_GUD_1_2_5;VA;GUD;1;2;5;17.02.2020;20.2.2020;;22.02.2020;17.03.2020;;;;;
VA_GUD_1_2_6;VA;GUD;1;2;6;17.02.2020;26.02.2020;;29.02.2020;;;;;;
VA_GUD_1_2_7;VA;GUD;1;2;7;17.02.2020;20.03.2020;;20.03.2020;;;;;;
VA_GUD_1_2_8;VA;GUD;1;2;8;17.02.2020;21.02.2020;;25.02.2020;17.03.2020;;;;;
VA_GUD_1_2_9;VA;GUD;1;2;9;17.02.2020;23.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_2_10;VA;GUD;1;2;10;17.02.2020;;No germination date;06.03.2020;;;;26.03.2020;;
VA_GUD_1_2_11;VA;GUD;1;2;11;17.02.2020;21.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_2_12;VA;GUD;1;2;12;17.02.2020;22.02.2020;;02.03.2020;17.03.2020;;;;;
VA_GUD_1_2_13;VA;GUD;1;2;13;17.02.2020;22.02.2020;;27.02.2020;17.03.2020;;;;;
VA_GUD_1_2_14;VA;GUD;1;2;14;17.02.2020;21.02.2020;;24.02.2020;17.03.2020;;;;;
VA_GUD_1_2_15;VA;GUD;1;2;15;17.02.2020;21.02.2020;;24.02.2020;17.03.2020;;;;;
VA_GUD_1_2_16;VA;GUD;1;2;16;17.02.2020;21.02.2020;;24.02.2020;17.03.2020;;;;;
VA_GUD_1_2_17;VA;GUD;1;2;17;17.02.2020;22.02.2020;;25.02.2020;17.03.2020;;;;;
VA_GUD_1_2_18;VA;GUD;1;2;18;17.02.2020;22.02.2020;;25.02.2020;17.03.2020;;;;;
VA_GUD_1_2_19;VA;GUD;1;2;19;17.02.2020;21.02.2020;;25.02.2020;17.03.2020;;;;;
VA_GUD_1_2_20;VA;GUD;1;2;20;17.02.2020;22.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_3_1;VA;GUD;1;3;1;17.02.2020;06.03.2020;;06.03.2020;;;;;;
VA_GUD_1_3_2;VA;GUD;1;3;2;17.02.2020;24.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_3;VA;GUD;1;3;3;17.02.2020;26.03.2020;;30.03.2020;;;;;;
VA_GUD_1_3_4;VA;GUD;1;3;4;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_5;VA;GUD;1;3;5;17.02.2020;22.02.2020;;25.02.2020;30.03.2020;;;;;
VA_GUD_1_3_6;VA;GUD;1;3;6;17.02.2020;22.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_7;VA;GUD;1;3;7;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_8;VA;GUD;1;3;8;17.02.2020;22.02.2020;;26.02.2020;;;20.03.2020;;;
VA_GUD_1_3_9;VA;GUD;1;3;9;17.02.2020;30.03.2020;;30.03.2020;;;;;;
VA_GUD_1_3_10;VA;GUD;1;3;10;17.02.2020;25.02.2020;;29.02.2020;;;;;;
VA_GUD_1_3_11;VA;GUD;1;3;11;17.02.2020;21.02.2020;;25.02.2020;30.03.2020;;;;;
VA_GUD_1_3_12;VA;GUD;1;3;12;17.02.2020;21.02.2020;;24.02.2020;20.03.2020;;;;;
VA_GUD_1_3_13;VA;GUD;1;3;13;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_14;VA;GUD;1;3;14;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_15;VA;GUD;1;3;15;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_16;VA;GUD;1;3;16;17.02.2020;21.02.2020;;25.02.2020;20.03.2020;;;;;
VA_GUD_1_3_17;VA;GUD;1;3;17;17.02.2020;02.03.2020;;06.03.2020;20.03.2020;;;;;
VA_GUD_1_3_18;VA;GUD;1;3;18;17.02.2020;21.02.2020;close to dry-out, re-moisturized 20.03.2020;25.02.2020;02.04.2020;;;;;
VA_GUD_1_3_19;VA;GUD;1;3;19;17.02.2020;24.02.2020;close to dry-out, re-moisturized 20.03.2020;29.02.2020;20.03.2020;;;;;
VA_GUD_1_3_20;VA;GUD;1;3;20;17.02.2020;21.02.2020;;22.02.2020;;;;;;
VA_GUD_1_4_1;VA;GUD;1;4;1;17.02.2020;23.02.2020;;28.02.2020;;;;;;
VA_GUD_1_4_2;VA;GUD;1;4;2;17.02.2020;26.02.2020;;29.02.2020;17.03.2020;;;;;
VA_GUD_1_4_3;VA;GUD;1;4;3;17.02.2020;22.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_4_4;VA;GUD;1;4;4;17.02.2020;22.02.2020;;26.02.2020;;;;;;
VA_GUD_1_4_5;VA;GUD;1;4;5;17.02.2020;;;;;;;;;
VA_GUD_1_4_6;VA;GUD;1;4;6;17.02.2020;21.02.2020;;24.02.2020;17.03.2020;;;;;
VA_GUD_1_4_7;VA;GUD;1;4;7;17.02.2020;22.02.2020;;26.02.2020;;;;;;
VA_GUD_1_4_8;VA;GUD;1;4;8;17.02.2020;22.02.2020;;24.02.2020;;;;;;
VA_GUD_1_4_9;VA;GUD;1;4;9;17.02.2020;22.02.2020;;24.02.2020;;;;;;
VA_GUD_1_4_10;VA;GUD;1;4;10;17.02.2020;22.02.2020;;26.02.2020;;;;;;
VA_GUD_1_4_11;VA;GUD;1;4;11;17.02.2020;22.02.2020;;26.02.2020;;;;;;
VA_GUD_1_4_12;VA;GUD;1;4;12;17.02.2020;25.02.2020;;02.03.2020;17.03.2020;;;;;
VA_GUD_1_4_13;VA;GUD;1;4;13;17.02.2020;;;;;;;;;
VA_GUD_1_4_14;VA;GUD;1;4;14;17.02.2020;24.02.2020;;28.02.2020;17.03.2020;;;;;
VA_GUD_1_4_15;VA;GUD;1;4;15;17.02.2020;22.02.2020;;26.02.2020;17.03.2020;;;;;
VA_GUD_1_4_16;VA;GUD;1;4;16;17.02.2020;25.02.2020;;28.02.2020;17.03.2020;;;;;
VA_GUD_1_4_17;VA;GUD;1;4;17;17.02.2020;23.02.2020;;26.02.2020;;;;;;
VA_GUD_1_4_18;VA;GUD;1;4;18;17.02.2020;24.02.2020;;28.02.2020;;;;;;
VA_GUD_1_4_19;VA;GUD;1;4;19;17.02.2020;29.02.2020;;06.03.2020;;;;;;
VA_GUD_1_4_20;VA;GUD;1;4;20;17.02.2020;22.02.2020;;28.02.2020;17.03.2020;;;;;
VA_GUD_1_5_1;VA;GUD;1;5;1;17.02.2020;17.03.2020;;17.03.2020;;;;;;
