Site;Plot;OTC;Treatment;Date;NDVI_1;NDVI_2;NDVI_3
Gudmedalen;Gud_1_1;W;W_R;01.08.2019;;;
Gudmedalen;Gud_1_2;W;W_N;01.08.2019;0,75;0,75;0,76
Gudmedalen;Gud_1_3;W;W_C;01.08.2019;0,76;0,75;0,77
Gudmedalen;Gud_1_4;C;C_E;01.08.2019;0,77;0,78;0,76
Gudmedalen;Gud_1_5;C;C_C;01.08.2019;0,73;0,73;0,73
Gudmedalen;Gud_1_6;C;C_N;01.08.2019;0,76;0,78;0,79
Gudmedalen;Gud_2_1;C;C_C;01.08.2019;0,70;0,75;0,77
Gudmedalen;Gud_2_2;C;C_N;01.08.2019;0,78;0,79;0,79
Gudmedalen;Gud_2_3;W;W_E;01.08.2019;0,74;0,78;0,75
Gudmedalen;Gud_2_4;W;W_C;01.08.2019;0,81;0,80;0,79
Gudmedalen;Gud_3_1;C;C_R;01.08.2019;0,73;0,73;0,71
Gudmedalen;Gud_3_2;C;C_E;01.08.2019;0,73;0,76;0,78
Gudmedalen;Gud_3_3;C;C_N;01.08.2019;0,71;0,74;0,73
Gudmedalen;Gud_3_4;W;W_R;01.08.2019;0,74;0,74;0,78
Gudmedalen;Gud_3_5;W;W_N;01.08.2019;0,69;0,71;0,73
Gudmedalen;Gud_3_6;W;W_E;01.08.2019;0,74;0,75;0,74
Gudmedalen;Gud_4_1;W;W_N;01.08.2019;0,77;0,79;0,81
Gudmedalen;Gud_4_2;W;W_R;01.08.2019;0,73;0,67;0,67
Gudmedalen;Gud_4_3;W;W_C;01.08.2019;0,78;0,77;0,76
Gudmedalen;Gud_4_4;C;C_C;01.08.2019;0,73;0,73;0,73
Gudmedalen;Gud_4_5;C;C_R;01.08.2019;0,75;0,77;0,75
Gudmedalen;Gud_4_6;C;C_E;01.08.2019;0,79;0,77;0,76
Gudmedalen;Gud_5_1;W;W_E;01.08.2019;0,69;0,70;0,70
Gudmedalen;Gud_5_2;W;W_C;01.08.2019;0,79;0,80;0,81
Gudmedalen;Gud_5_3;W;W_R;01.08.2019;;;
Gudmedalen;Gud_5_4;C;C_C;01.08.2019;0,68;0,69;0,69
Gudmedalen;Gud_5_5;C;C_E;01.08.2019;0,73;0,74;0,73
Gudmedalen;Gud_5_6;C;C_R;01.08.2019;0,73;0,70;0,70
Gudmedalen;Gud_6_1;C;C_C;01.08.2019;0,72;0,72;0,72
Gudmedalen;Gud_6_2;C;C_R;01.08.2019;0,74;0,75;0,74
Gudmedalen;Gud_6_3;C;C_N;01.08.2019;0,76;0,79;0,79
Gudmedalen;Gud_6_4;W;W_N;01.08.2019;0,71;0,66;0,70
Gudmedalen;Gud_6_5;W;W_R;01.08.2019;0,70;0,72;0,74
Gudmedalen;Gud_6_6;W;W_E;01.08.2019;0,70;0,73;0,76
Gudmedalen;Gud_7_1;W;W_N;01.08.2019;0,73;0,76;0,76
Gudmedalen;Gud_7_2;W;W_E;01.08.2019;0,76;0,76;0,76
Gudmedalen;Gud_7_3;W;W_C;01.08.2019;0,70;0,71;0,72
Gudmedalen;Gud_7_4;C;C_E;01.08.2019;0,71;0,76;0,76
Gudmedalen;Gud_7_5;C;C_R;01.08.2019;;;
Gudmedalen;Gud_7_6;C;C_N;01.08.2019;0,75;0,78;0,75
Lavisdalen;Lav_1_1;C;C_N;07.08.2019;0,68;0,72;0,76
Lavisdalen;Lav_1_2;C;C_E;07.08.2019;0,76;0,73;0,66
Lavisdalen;Lav_1_3;C;C_C;07.08.2019;0,74;0,67;0,74
Lavisdalen;Lav_1_4;W;W_E;07.08.2019;0,64;0,66;0,67
Lavisdalen;Lav_1_5;W;W_R;07.08.2019;0,68;0,68;0,70
Lavisdalen;Lav_1_6;W;W_N;07.08.2019;0,71;0,66;0,64
Lavisdalen;Lav_2_1;W;W_R;07.08.2019;0,79;0,79;0,79
