"","site","date","SeedClim_plotID","FunCaB_plotID","soil_moisture"
"1","Fauske",2016-05-10,"51 TTC","Fau1C",0.11025
"2","Fauske",2016-05-10,"51 TTC","Fau1C",0.11025
"3","Fauske",2016-05-10,"57 TTC","Fau2C",0.123625
"4","Fauske",2016-05-10,"57 TTC","Fau2C",0.123625
"5","Fauske",2016-05-10,"61 TTC","",0.13
"6","Fauske",2016-05-10,"61 TTC","",0.13
"7","Fauske",2016-05-10,"68 TTC","Fau4C",0.15575
"8","Fauske",2016-05-10,"68 TTC","Fau4C",0.15575
"9","Fauske",2016-05-10,"73 TTC","Fau5C",0.15675
"10","Fauske",2016-06-07,"51 TTC","Fau1C",0
"11","Fauske",2016-06-07,"57 TTC","Fau2C",0.001
"12","Fauske",2016-06-07,"61 TTC","",0.001
"13","Fauske",2016-06-07,"68 TTC","Fau4C",0.01075
"14","Fauske",2016-06-07,"73 TTC","Fau5C",0.0275
"15","Fauske",2016-06-07,"Fau1XC","Fau1XC",0
"16","Fauske",2016-06-07,"Fau2XC","Fau2XC",0
"17","Fauske",2016-06-07,"Fau3XC","Fau3XC",0.00075
"18","Fauske",2016-06-07,"Fau4XC","Fau4XC",0.0045
"19","Fauske",2016-06-20,"51 TTC","Fau1C",0.1165
"20","Fauske",2016-06-20,"57 TTC","Fau2C",0.155
"21","Fauske",2016-06-20,"61 TTC","",0.1315
"22","Fauske",2016-06-20,"68 TTC","Fau4C",0.152
"23","Fauske",2016-06-20,"73 TTC","Fau5C",0.119
"24","Fauske",2016-06-22,"51 TTC","Fau1C",0.108
"25","Fauske",2016-06-22,"57 TTC","Fau2C",0.1255
"26","Fauske",2016-06-22,"61 TTC","",0.1425
"27","Fauske",2016-06-22,"68 TTC","Fau4C",0.157
"28","Fauske",2016-06-22,"73 TTC","Fau5C",0.1645
"29","Fauske",2016-06-22,"Fau1XC","Fau1XC",0.20475
"30","Fauske",2016-06-22,"Fau2XC","Fau2XC",0.18125
"31","Fauske",2016-06-22,"Fau3XC","Fau3XC",0.1555
"32","Fauske",2016-06-22,"Fau4XC","Fau4XC",0.139
