Site;Treat;Block;Plot;Year;Date;Registrator;IDS;MS;IDG;X;Y;LSL;NL;LL;NFS;NFL;NFL1;NFL2;NFL3;NFL4;NB;NB1;NB2;NB3;NB4;NC;NC1;NC2;NC3;NC4;NC5;NC6;NAC;NAC1;NAC2;seedl;juvinale;comment
Gud;;1;4;2018;07.08.2018;EE;1;;;26;0;38;5;20;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;1;4;2018;07.08.2018;EE;2;;;34;0,5;41;4;18;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;1;;;0,5;16,5;28;4;15;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;2;;;3;17,5;45;5;14;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;3;;;1,5;16,5;35;4;19;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;4;;;1,5;16;26;2;16;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;5;;;1,5;15,5;40;2;19;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;6;;;3,5;16;29;1;11;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;7;;;5;15,5;42;6;26;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;8;;;1,5;14;46;3;12;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;9;;;2,5;14,5;41;4;23;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;10;;;2,5;14;44;3;25;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;11;;;3,5;11;40;6;21;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;12;;;4;8;51;6;25;1;2;0;0;0;;2;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;13;;;4;7,5;32;2;16;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;1;2018;08.08.2018;EE;14;;;1;6,5;25;4;9;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;3;2018;08.08.2018;;1;;;24;14,5;9;2;4;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;3;2018;08.08.2018;;2;;;27,5;14,5;28;3;11;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;4;2018;08.08.2018;EE;2;;;22;8;21;4;11;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;2;4;2018;08.08.2018;EE;3;;;33;6;12;3;5;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;1;;;4;13;32;6;17;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;2;;;4,5;12;36;5;16;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;3;;;3;9;20;3;9;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;4;;;5;9;29;5;18;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;5;;;16;4,5;48;6;22;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;6;;;31;8,5;32;9;24;2;11;6;5;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;7;;;33,5;8;18;3;10;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;8;;;33,5;5,5;21;5;16;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;9;;;33;5;15;4;9;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;10;;;35;6;24;3;14;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;11;;;34,5;3;24;5;16;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
Gud;;3;1;2018;08.08.2018;;12;;;33;2;25;5;17;0;0;0;0;0;;0;0;0;;;0;0;0;;;;;0;;;no;no;
