plotID;OTC;Treatment
Gud_1_1;W;R
Gud_1_2;W;N
Gud_1_3;W;C
Gud_1_4;C;E
Gud_1_5;C;C
Gud_1_6;C;N
Gud_2_1;C;C
Gud_2_2;C;N
Gud_2_3;W;E
Gud_2_4;W;C
Gud_3_1;C;R
Gud_3_2;C;E
Gud_3_3;C;N
Gud_3_4;W;R
Gud_3_5;W;N
Gud_3_6;W;E
Gud_4_1;W;N
Gud_4_2;W;R
Gud_4_3;W;C
Gud_4_4;C;C
Gud_4_5;C;R
Gud_4_6;C;E
Gud_5_1;W;E
Gud_5_2;W;C
Gud_5_3;W;R
Gud_5_4;C;C
Gud_5_5;C;E
Gud_5_6;C;R
Gud_6_1;C;C
Gud_6_2;C;R
Gud_6_3;C;N
Gud_6_4;W;N
Gud_6_5;W;R
Gud_6_6;W;E
Gud_7_1;W;N
Gud_7_2;W;E
Gud_7_3;W;C
Gud_7_4;C;E
Gud_7_5;C;R
Gud_7_6;C;N
Lav_1_1;C;N
Lav_1_2;C;E
Lav_1_3;C;C
Lav_1_4;W;E
Lav_1_5;W;R
Lav_1_6;W;N
Lav_2_1;W;R
Lav_2_2;W;E
Lav_2_3;W;N
Lav_2_4;C;C
Lav_2_5;C;N
Lav_2_6;C;E
Lav_3_1;C;E
Lav_3_2;C;R
Lav_3_3;C;N
Lav_3_4;W;E
Lav_3_5;W;C
Lav_3_6;W;N
Lav_4_1;W;N
Lav_4_2;W;R
Lav_4_3;W;C
Lav_4_4;C;N
Lav_4_5;C;C
Lav_4_6;C;R
Lav_5_1;W;R
Lav_5_2;W;C
Lav_5_3;W;E
Lav_5_4;C;R
Lav_5_5;C;C
Lav_5_6;C;E
Lav_6_1;W;R
Lav_6_2;W;C
Lav_6_3;W;N
Lav_6_4;C;R
Lav_6_5;C;C
Lav_6_6;C;E
Lav_7_1;W;C
Lav_7_2;W;E
Lav_7_3;C;N
Lav_7_4;C;R
Skj_1_1;C;N
Skj_1_2;C;R
Skj_1_3;C;C
Skj_1_4;W;C
Skj_1_5;W;N
Skj_1_6;W;R
Skj_2_1;W;E
Skj_2_2;W;N
Skj_2_3;W;R
Skj_2_4;C;R
Skj_2_5;C;N
Skj_2_6;C;E
Skj_3_1;W;N
Skj_3_2;W;R
Skj_3_3;W;E
Skj_3_4;C;E
Skj_3_5;C;R
Skj_3_6;C;C
Skj_4_1;W;N
Skj_4_2;W;C
Skj_4_3;W;E
Skj_4_4;C;E
Skj_4_5;C;C
Skj_5_1;C;E
Skj_5_2;C;C
Skj_5_3;C;N
Skj_5_4;W;E
Skj_5_5;W;N
Skj_5_6;W;C
Skj_6_1;C;R
Skj_6_2;C;E
Skj_6_3;C;N
Skj_6_4;W;C
Skj_6_5;W;R
Skj_6_6;W;E
Skj_7_1;C;C
Skj_7_2;C;N
Skj_7_3;C;R
Skj_7_4;W;R
Skj_7_5;W;C
Ulv_1_1;W;C
Ulv_1_2;W;R
Ulv_1_3;W;E
Ulv_1_4;C;E
Ulv_1_5;C;N
Ulv_1_6;C;R
Ulv_2_1;W;N
Ulv_2_2;W;E
Ulv_2_3;W;C
Ulv_2_4;C;C
Ulv_2_5;C;N
Ulv_2_6;C;R
Ulv_3_1;W;R
Ulv_3_2;W;C
Ulv_3_3;W;N
Ulv_3_4;C;C
Ulv_3_5;C;E
Ulv_3_6;C;R
Ulv_4_1;W;E
Ulv_4_2;W;R
Ulv_4_3;W;N
Ulv_4_4;C;E
Ulv_4_5;C;R
Ulv_5_1;W;C
Ulv_5_2;W;R
Ulv_5_3;C;E
Ulv_5_4;C;C
Ulv_5_5;C;N
Ulv_6_1;C;E
Ulv_6_2;C;C
Ulv_6_3;C;N
Ulv_6_4;W;N
Ulv_6_5;W;E
Ulv_6_6;W;C
Ulv_7_1;W;R
Ulv_7_2;W;E
Ulv_7_3;W;N
Ulv_7_4;C;N
Ulv_7_5;C;R
Ulv_7_6;C;C
