Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Låv	Ver_off	Extant	1	2	2018	14.09.2018		1		1	17,5	20,0	45	11		17	7																				
Låv	Ver_off	Extant	1	2	2018	14.09.2018		2	1	1	18,5	19,5	10	7		12	5																				
Låv	Ver_off	Extant	1	2	2018	14.09.2018		3			19,0	9,5	25	18		15	8																				
Låv	Ver_off	Extant	1	2	2018	14.09.2018		4		2	16,5	8,0	29	8		30	6																				
Låv	Ver_off	Extant	1	2	2018	14.09.2018		5		2	17,0	6,5	26	23		16	11																				
Låv	Ver_off	Extant	1	2	2018	14.09.2018		6		2	16,5	7,0	27	7		19	8																				
Låv	Vio_can	Extant	1	2	2018	14.09.2018		1			27,0	18,0	22	4		20	18																				
Låv	Vio_can	Extant	1	2	2018	14.09.2018		2			25,0	8,5	23	2		19	16																				
Låv	Ver_off	Extant	1	4	2018	14.09.2018		1			7,5	15,0	50	50		29	50																				
Låv	Ver_off	Extant	1	4	2018	14.09.2018		2			6,5	15,5	24	7		9	5																				
Låv	Ver_off	Extant	1	4	2018	14.09.2018		3			6,0	7,5	70	22		29	12																				
Låv	Ver_off	Extant	1	4	2018	14.09.2018		4			8,5	8,5	26	9		15	7																				
Låv	Vio_can	Extant	1	4	2018	14.09.2018		1			27,0	17,5	35	7		25	19											1									
Låv	Vio_can	Extant	1	4	2018	14.09.2018		2			27,0	6,5	17	4		19	15																				
Låv	Vio_can	Extant	2	2	2018	11.09.2018	SO	1			7,5	18,0	28	7		28	20																				
Låv	Vio_can	Extant	2	2	2018	11.09.2018	SO	2			8,0	9,5	21	11		35	24																				
Låv	Ver_off	Extant	2	2	2018	11.09.2018	SO	1			26,5	17,5	33	34		19	9																				
Låv	Ver_off	Extant	2	2	2018	11.09.2018	SO	2			26,0	7,0	54	46		21	12																				
Låv	Vio_can	Extant	2	6	2018	14.09.2018		1			16,5	17,5	17	4		23	16																				
Låv	Vio_can	Extant	2	6	2018	14.09.2018		2			16,0	8,0	34	7		18	19																				2 shoot
Låv	Ver_off	Extant	2	6	2018	14.09.2018		1			26,5	18,5	35	21		15	9											2			7						
Låv	Ver_off	Extant	2	6	2018	14.09.2018		2			28,0	16,0	62	45		19	10																				2/3 shoots
Låv	Ver_off	Extant	2	6	2018	14.09.2018		3			26,5	7,5	30	23		12	7																				
Låv	Ver_off	Extant	2	6	2018	14.09.2018		4			25,0	5,5	38	36		28	12																				2 shoots
Låv	Ver_off	Extant	2	6	2018	14.09.2018		5		1	26,5	8,0	58	19		12	7																				
Låv	Ver_off	Extant	2	6	2018	14.09.2018		6	5	1	27,5	7,0	10			11	7																				
Låv	Ver_off	Extant	2	6	2018	14.09.2018		7	5	1	28,5	7,5	21	12		13	6																				
Låv	Ver_off	Extant	3	1	2018	11.09.2018	RG	1			7,0	18,5	35	14		16	9																				
Låv	Ver_off	Extant	3	1	2018	11.09.2018	RG	2		1	10,0	16,5	52	20		22	13																				
Låv	Ver_off	Extant	3	1	2018	11.09.2018	RG	3		1	10,0	15,5	34	6		17	18																				
Låv	Ver_off	Extant	3	1	2018	11.09.2018	RG	4		1	89,0	16,0	36	8		13	6																				
