Site;Treat;Block;Plot;Year;Date;Registrator;IDS;MS;IDG;X;Y;SH;NL;LL;WL;NFL;NB;NC;NAC;seedl;juvinale;comment
Skj;;1;1;2018;20.08.2018;SY;1;;;8;22;16;8;9;5;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;2;;;6,5;20,5;7;3;4;2;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;3;;;6,5;21,5;4;4;4;2;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;4;;;9,5;21,5;10;6;6;3;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;5;;;11,5;21;11;8;6;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;6;;;14,5;25;6;5;1;1;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;7;;;20;21;14;4;9;4;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;8;;;20;22,5;8;4;7;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;9;;;23,5;25,5;4;4;4;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;10;;;24;25,5;3;4;2;1;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;11;;;24;24,5;4;6;3;2;0;0;0;0;no;yes;
Skj;;1;1;2018;20.08.2018;SY;12;;;26;22;78;4;12;6;0;0;2;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;13;;;28,5;25;94;6;10;4;0;0;0;0;no;no;dead leaves
Skj;;1;1;2018;20.08.2018;SY;14;;;27,5;25,5;15;6;8;3;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;15;;;27,5;25,5;18;15;8;4;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;16;;;28,5;25;17;6;8;3;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;17;;;27,5;24,5;6;6;4;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;18;;;29;21,5;10;4;4;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;19;;;29,5;22;4;8;4;2;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;20;;;30;22,5;6;6;5;2;0;0;0;0;yes;no;
Skj;;1;1;2018;20.08.2018;SY;21;;;5,5;17;4;5;5;3;0;0;0;0;no;yes;
Skj;;1;1;2018;20.08.2018;SY;22;;;11,5;19,5;6;6;5;2;0;0;0;0;no;no;dead
Skj;;1;1;2018;20.08.2018;SY;23;;;11;17,5;8;3;10;5;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;24;;;11,5;16,5;17;6;10;3;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;25;;;12,5;17;10;6;7;3;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;26;;;10,5;12;6;4;7;2;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;27;;;19,5;12;70;8;15;6;0;0;2;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;28;;;19,5;11,5;7;8;9;4;0;0;0;0;no;no;
Skj;;1;1;2018;20.08.2018;SY;29;;;0,5;9;86;10;10;6;0;0;4;0;no;no;dead
Skj;;1;1;2018;20.08.2018;SY;30;;;1;7,5;89;10;12;6;0;0;2;0;no;no;
